even,9.18878042603e-05,0.000280777730921,0.000188889926661
agreed,9.21439651111e-05,0.000140934721075,4.8790755964e-05
country,9.21513256669e-05,0.000568209701715,0.000476058376048
chart,9.21848167865e-05,0.000380747287773,0.000288562470987
half,9.30266535712e-05,0.00021709457588,0.000124067922308
fa,9.30494597932e-05,0.000103504621785,1.04551619923e-05
felt,9.33108274652e-05,0.000137919518632,4.46086911671e-05
close,9.37417116358e-05,0.000166927845582,7.3186133946e-05
starting,9.37699941223e-05,0.000208776776037,0.000115006781915
group,9.38426292353e-05,0.000649360236425,0.00055551760719
supporting,9.39185905018e-05,0.000185227005234,9.13084147326e-05
face,9.41321919952e-05,0.000193804736322,9.96725443264e-05
festival,9.44721225326e-05,0.000254784606414,0.000160312483882
report,9.46850959288e-05,0.000172750305471,7.80652095424e-05
fund,9.48415935625e-05,0.000135268219933,4.04266263701e-05
date,9.50628268667e-05,0.000148732658427,5.36698315604e-05
friend,9.51440823532e-05,0.000390676661335,0.000295532578982
future,9.52911530952e-05,0.000204721848614,0.000109430695519
well,9.63383278418e-05,0.000761286630551,0.000664948302709
becoming,9.6353773508e-05,0.000220421695816,0.000124067922308
vocal,9.64484083249e-05,0.000200303017448,0.000103854609123
tour,9.71109394422e-05,0.000591291596277,0.000494180656835
claim,9.71846559518e-05,0.000149460465913,5.22758099614e-05
yard,9.74149574939e-05,0.000201966577417,0.000104551619923
suffered,9.7453924878e-05,0.000169943048024,7.24891231465e-05
our,9.75231500623e-05,0.000176285370404,7.87622203418e-05
statement,9.7568043387e-05,0.00013381260496,3.62445615732e-05
appointed,9.82925283432e-05,0.000232118601844,0.000133826073501
playoff,9.8749361033e-05,0.00019702788376,9.82785227274e-05
coming,9.90985400409e-05,0.000149980328403,5.08817883624e-05
featuring,9.92949025991e-05,0.00015226772336,5.29728207609e-05
part,9.96597912813e-05,0.000756243964396,0.000656584173115
right,9.99559972894e-05,0.000509101336587,0.000409145339298
much,0.000100623469408,0.000286028342071,0.000185404872663
form,0.000101152310926,0.000197339801254,9.6187490329e-05
tax,0.00010147266856,0.000146081359727,4.46086911671e-05
various,0.000101999354531,0.000207944996053,0.000105945641522
ball,0.000102858788905,0.000160013674463,5.71548855578e-05
fellow,0.00010336231,0.00022603621071,0.000122673900709
attempt,0.000103424981147,0.000152215737111,4.8790755964e-05
remained,0.000103684912392,0.000152475668356,4.8790755964e-05
champion,0.000103735819056,0.000631372994267,0.00052763717521
late,0.000104530159105,0.00042306409447,0.000318533935365
regular,0.000105043378347,0.000215171084666,0.000110127706319
along,0.00010515623885,0.000401385828632,0.000296229589781
teammate,0.000105169618181,0.000139323147356,3.41535291748e-05
six,0.000105317854095,0.00040991157347,0.000304593719375
political,0.000105531455588,0.000418489304557,0.000312957848969
defeating,0.000106222631469,0.000153619365834,4.7396734365e-05
taking,0.000106451227141,0.000190789533879,8.43383067377e-05
signing,0.000106892796209,0.00014592540098,3.90326047712e-05
entitled,0.00010714312033,0.000144781703502,3.76385831722e-05
per,0.000107439504759,0.000154139228324,4.66997235655e-05
should,0.000107498583932,0.000196715966266,8.92173823341e-05
told,0.000107817594351,0.000239552635453,0.000131735041103
election,0.000108130048919,0.000605795759752,0.000497665710833
premier,0.000108185448721,0.000232950381829,0.000124764933108
stating,0.000108337098187,0.00013064144377,2.23043455835e-05
special,0.000108804524752,0.000296997440613,0.000188192915861
so,0.000110607252396,0.000530207753687,0.00041960050129
though,0.000110971247162,0.000255252482655,0.000144281235493
confirmed,0.000111039844249,0.000170982773005,5.99429287557e-05
about,0.00011229738717,0.000961953551742,0.000849656164573
move,0.000112311846085,0.000221045530805,0.00010873368472
substitute,0.000112530745422,0.00012856199381,1.60312483882e-05
love,0.000112637499751,0.000472295072286,0.000359657572534
way,0.00011278349272,0.000361616348137,0.000248832855416
press,0.000113180348696,0.000212155882223,9.89755335269e-05
such,0.000113582679125,0.00062170355195,0.000508120872825
transfer,0.00011367614877,0.000145041634747,3.13654859768e-05
critic,0.000113680458051,0.000247506531552,0.000133826073501
plan,0.000114055046692,0.000173997975448,5.99429287557e-05
attended,0.000114589992571,0.000331360351211,0.00021677035864
review,0.000114633988355,0.00021709457588,0.000102460587524
within,0.000114882876049,0.0001817959128,6.69130367506e-05
division,0.00011525584803,0.000221201489552,0.000105945641522
revealed,0.000115470257853,0.00017332215421,5.78518963573e-05
performed,0.00011573629346,0.000419633002035,0.000303896708576
upon,0.000116434831708,0.000178468792863,6.20339611542e-05
impact,0.000116489332158,0.000137399656142,2.09103239846e-05
without,0.000116982707242,0.000239656607951,0.000122673900709
euro,0.000117036040707,0.000145613483486,2.85774427789e-05
based,0.000117371212288,0.000270016577375,0.000152645365087
arsenal,0.000117979425,0.000151435943376,3.34565183753e-05
case,0.000118500454474,0.00020492979361,8.64293391362e-05
period,0.000118544808912,0.000200095072452,8.15502635398e-05
five,0.00011863459375,0.000518718792655,0.000400084198905
titled,0.000120246797378,0.000207373147314,8.71263499357e-05
whom,0.000120317997876,0.00021023239101,8.99143931336e-05
effort,0.000120782462377,0.000180028380333,5.92459179563e-05
start,0.000122448086869,0.000306458937933,0.000184010851064
nomination,0.00012382882016,0.000293202444435,0.000169373624275
character,0.000124141724405,0.000493557448132,0.000369415723727
initially,0.000125067063245,0.000145977387229,2.09103239846e-05
court,0.000125713074546,0.000345968487184,0.000220255412637
project,0.000125948404488,0.000316232352748,0.000190283948259
serie,0.000126289862475,0.000136048013668,9.75815119279e-06
or,0.000126998093435,0.000831676011715,0.00070467791828
